colGPA,age,male,campus,hsGPA,ACT,job19,job20,drive,bike,walk,PC,bgfriend,skipped,alcohol,fathcoll,mothcoll
3,21,0,0,3,21,0,1,1,0,0,0,0,2,1,0,0
3.4,21,0,0,3.2,24,0,1,1,0,0,0,1,0,1,1,1
3,20,0,0,3.6,26,1,0,0,0,1,0,0,0,1,1,1
3.5,19,1,1,3.5,27,1,0,0,0,1,0,0,0,0,0,0
3.6,20,0,0,3.9,28,0,1,0,1,0,0,1,0,1.5,1,0
3,20,1,1,3.4,25,0,0,0,0,1,0,0,0,0,1,0
2.7,22,0,0,3.5,25,0,0,0,1,0,0,0,0,2,0,1
2.7,22,0,0,3,22,1,0,1,0,0,1,1,3,3,1,1
2.7,22,0,0,3,21,1,0,1,0,0,0,1,2,2.5,1,1
3.8,19,0,0,4,27,1,0,0,0,1,1,0,0.5,0.75,0,1
2.8,21,1,0,3,19,1,0,0,0,1,0,1,2,1,0,0
2.9,22,0,1,3.1,22,0,1,0,0,1,0,1,1,1,0,1
3,21,0,1,3.5,23,1,0,0,0,1,1,1,0,1,0,1
2.9,20,1,1,3.8,29,0,0,0,0,1,0,0,3,2.5,1,1
3.3,20,1,0,3.7,25,0,0,1,0,0,1,0,1,4,1,1
2.6,22,1,0,3,21,0,0,1,0,0,0,0,3,3.5,1,0
2.5,19,1,0,3.5,29,0,1,0,0,1,1,0,4,3,1,0
2.5,22,1,0,3,23,0,0,1,0,0,0,0,5,5,1,0
2.4,20,1,0,3,21,0,0,1,0,0,0,0,2,4,1,0
3.6,21,1,0,3.5,29,0,0,0,1,0,1,1,1,5,1,1
2.6,20,0,0,3.5,25,1,0,1,0,0,0,1,3,2,1,1
2.7,22,1,0,3,23,1,0,0,0,1,0,0,1,1,0,1
2.9,20,0,0,3.6,27,0,0,0,1,0,1,1,1,1,1,0
3,21,0,1,4,25,1,0,0,1,0,1,1,0,0,0,0
3.3,20,1,0,3.6,33,0,0,0,1,0,0,1,2,5,1,0
3.1,20,0,0,3.3,24,1,0,0,0,1,0,1,1,1,1,0
3,20,0,0,3.6,27,1,0,0,1,0,1,1,2,1,0,0
3.2,20,0,0,3.1,20,0,0,1,0,0,1,0,1,2,0,0
3,20,0,0,3.4,21,0,0,0,1,0,1,0,0,2,1,1
3.4,20,0,0,3.7,24,0,0,0,1,0,0,1,0.5,2,1,1
2.9,21,1,0,3.7,20,0,0,0,1,0,0,0,1,2,0,0
3.5,21,0,0,3.3,23,0,0,1,0,0,1,1,1,0,1,1
3.7,22,1,0,3.3,22,0,0,0,1,0,1,1,0,1,1,0
3.5,20,0,0,3.5,24,1,0,0,0,1,1,0,0,1,1,1
2.8,21,1,0,3.2,28,0,1,0,1,0,0,1,1,3,1,1
2.5,21,0,1,3.3,25,1,0,0,0,1,1,1,1,1,1,1
3.1,21,0,0,3.4,23,0,0,1,0,0,1,1,0.5,1,1,1
3.5,20,1,0,3.5,24,1,0,0,1,0,0,0,1,3,1,0
3.4,20,0,0,3.4,26,1,0,0,0,1,1,1,0.5,0,1,1
3.5,21,0,0,3.7,23,1,0,0,1,0,1,0,0,2,0,1
2.6,21,1,0,2.5,26,0,1,0,0,1,1,1,1,1,0,0
2.8,21,1,0,3.7,23,0,1,0,0,1,1,0,0,2,1,1
2.6,21,0,0,3,23,0,0,0,0,1,0,0,2,3,0,0
3.5,20,1,0,3,19,0,0,0,0,1,1,0,1,3,0,1
4,22,0,0,4,26,1,0,0,0,1,1,1,0,0.5,1,1
3.8,20,0,0,3.8,26,0,0,0,0,1,1,1,1,3,1,1
2.8,19,1,0,3,21,0,0,0,0,1,1,0,4,2,1,1
3.5,21,0,0,3.7,24,1,0,0,0,1,0,1,1,2,0,0
3,21,0,0,3.4,24,1,0,0,0,1,0,0,2,1,1,1
2.6,21,1,0,2.4,24,1,0,0,1,0,0,0,1,2,0,0
3,21,0,0,3.8,21,1,0,0,1,0,0,1,1,2,0,0
3.7,22,0,0,4,25,1,0,0,1,0,0,0,1,2,0,0
3,19,0,0,3.5,21,1,0,0,0,1,0,0,0,2,1,1
2.9,20,1,0,3.4,27,1,0,0,0,1,1,1,1,3,1,1
2.6,20,1,1,3.6,19,1,0,0,1,0,1,0,1,0,1,0
3,22,1,0,3.2,27,0,0,1,0,0,0,0,2,5,1,1
3.3,21,1,0,3.8,28,1,0,0,1,0,0,0,0.5,1,0,1
2.7,22,1,0,3.3,24,0,0,0,1,0,0,1,2,3,1,0
3,21,1,0,3.4,27,1,0,0,0,1,0,0,0,1,1,1
3.2,21,0,0,3,24,1,0,0,0,1,0,0,0,0,1,1
2.7,20,1,0,3.6,27,0,0,0,0,1,0,0,1,3,0,1
3.6,21,0,1,3.9,26,1,0,0,0,1,1,0,1,2,1,0
2.4,21,0,0,3,19,0,0,1,0,0,0,0,2,3,0,1
2.9,21,0,0,3,24,0,0,0,1,0,0,1,1,2,0,0
3.3,21,0,1,3.3,26,1,0,0,1,0,1,0,1,1,0,0
3.5,20,1,0,3.3,28,0,0,0,0,1,1,0,0.5,1.5,1,1
3,21,1,0,3.2,22,0,0,0,0,1,0,0,2,3,1,1
3,21,1,0,3.4,27,0,1,0,1,0,0,0,0,2,1,1
2.8,21,0,0,3.7,26,1,0,0,1,0,1,0,0,1,0,1
2.9,21,1,1,3.4,26,0,0,0,1,0,1,0,0,2,1,1
3.8,22,1,0,3.9,30,0,1,0,1,0,1,1,2,7,1,1
2.5,20,0,0,3.6,24,0,1,0,0,1,0,0,2,1,0,0
3,21,1,0,4,26,0,0,0,1,0,0,0,1,4,0,0
3.2,20,0,0,3.6,21,0,1,0,1,0,0,0,1,2,1,1
2.2,21,1,1,3,24,1,0,1,0,0,1,0,0,1,1,1
3.4,30,1,0,2.8,24,0,1,1,0,0,0,1,0,0,0,0
2.9,22,1,1,3.2,23,0,0,0,0,1,0,0,0,3,1,0
3.7,22,1,0,2.9,26,0,0,0,1,0,1,0,1,5,1,0
2.9,20,1,1,2.9,24,1,0,0,1,0,0,1,1,0.5,1,1
2.8,23,1,1,3.6,24,1,0,0,0,1,0,1,0.5,1,1,1
3.2,22,1,0,3.4,27,0,0,0,0,1,0,0,1,2,1,0
3.4,21,0,0,3.6,23,0,0,1,0,0,0,1,0.5,2,1,1
3,22,0,0,3.2,31,1,0,1,0,0,1,1,2,1,0,1
2.5,22,0,0,3.2,24,1,0,0,0,1,0,1,2,1,0,1
3.5,21,0,0,3.2,16,0,0,1,0,0,1,0,1,3,0,1
3.1,21,1,0,3.7,27,0,0,0,1,0,0,0,1,4,1,1
2.8,21,1,0,2.9,22,1,0,0,1,0,0,1,0,7,1,1
2.9,21,0,0,3.3,23,0,1,0,0,1,0,0,1,2,0,0
2.9,21,1,1,3.1,24,0,0,0,0,1,0,0,2,3,1,0
3.4,19,0,0,3.5,24,0,0,0,1,0,0,1,0,1,0,0
3.4,20,1,1,3.5,23,0,1,0,0,1,1,1,0,1.5,1,1
3.6,22,1,0,3.7,23,0,1,1,0,0,0,1,3,3,0,0
3.2,26,0,0,3,23,0,0,1,0,0,1,1,0.25,0.5,1,0
3.2,20,0,0,3.8,25,0,0,1,0,0,1,1,1,2,1,1
2.8,21,0,0,3.3,21,0,0,1,0,0,1,1,0,0.5,1,1
3.1,20,0,0,3.6,22,0,0,0,0,1,0,0,0,1,0,0
2.8,20,1,1,3.2,24,1,0,0,0,1,1,0,1,2,0,0
3.4,21,1,0,3.6,27,0,0,0,0,1,1,1,3,3,1,0
2.7,21,1,0,3.5,29,0,1,0,1,0,0,0,0,3,1,1
3,20,0,0,3.7,24,1,0,0,1,0,1,0,0,2,0,0
2.5,21,1,0,2.7,25,0,0,0,1,0,1,0,0.5,3,0,1
2.5,25,1,0,3.1,23,0,0,1,0,0,0,1,1,1,0,0
2.7,21,0,0,3.4,22,0,0,0,1,0,0,1,1,2,1,0
3.6,20,1,0,3.3,24,0,0,0,0,1,1,0,0,3,1,1
2.9,20,0,0,3.4,23,1,0,0,0,1,1,0,1,0.5,1,1
2.8,21,0,0,3.5,26,0,0,0,0,1,1,1,1,2,1,1
3.9,22,1,0,3.9,26,1,0,0,1,0,1,0,0,0.5,0,0
2.8,20,1,0,3.5,22,0,0,0,1,0,0,1,2,2,0,0
3.9,21,0,0,4,26,1,0,0,0,1,1,0,0,2,1,1
3.2,21,1,0,2.9,28,1,0,0,1,0,0,1,1,2.5,1,0
3.3,22,1,0,3.3,24,0,0,0,1,0,0,1,2,4,1,1
3.3,20,1,0,3.5,24,0,0,0,1,0,0,0,2,2,0,0
3.2,21,0,1,3.5,23,1,0,0,0,1,0,1,0,1,1,0
3.1,22,1,1,3.1,16,0,1,0,0,1,1,1,0,0,1,0
3,20,1,0,3.1,21,1,0,0,0,1,1,0,1,0.5,0,1
3.4,20,1,0,3.7,30,1,0,1,0,0,0,0,5,3,0,0
3.1,20,1,0,3.3,23,1,0,0,1,0,0,1,2,1,1,1
3.2,21,0,0,3.7,23,1,0,0,0,1,0,0,2,0,0,0
3.3,20,1,0,3,23,1,0,0,0,1,1,1,0,3,1,1
3,21,0,0,3.8,22,1,0,1,0,0,0,1,1,3,1,1
2.8,21,0,0,3.5,22,0,0,0,1,0,0,0,1,2,1,1
2.8,21,1,0,3.6,25,1,0,1,0,0,0,1,3,0,0,0
2.7,20,1,0,3.5,27,1,0,0,1,0,0,0,4,3,0,0
2.6,21,0,1,3,19,0,1,0,0,1,0,1,1,0,0,1
2.9,19,1,0,3.8,23,1,0,1,0,0,0,0,1,2,1,1
3,20,0,0,3.5,26,1,0,0,0,1,0,1,2,1,0,1
3,22,0,0,3.6,22,0,0,0,1,0,0,0,0,2,1,1
2.9,22,0,0,3.8,24,0,1,0,0,1,0,1,2,1,0,0
3.3,20,0,0,3.6,26,0,1,0,0,1,0,1,0,0,0,1
2.7,21,0,0,3.3,23,0,0,0,0,1,1,1,1,3,0,0
3,20,1,0,3.2,21,1,0,1,0,0,1,0,1,1,1,1
2.9,20,1,0,3.3,22,0,0,0,1,0,0,0,2,1,1,0
3.8,20,1,1,3.6,26,0,0,0,1,0,0,1,0,0,1,1
2.9,20,1,1,3.8,30,0,0,0,0,1,1,0,0,1,1,0
3,22,1,0,3.3,22,1,0,0,1,0,1,0,0,3,1,0
3.2,21,1,0,3.2,19,0,0,0,0,1,0,1,0,3,0,0
3,22,0,0,3.3,23,0,1,0,0,1,0,1,0,0,0,0
2.3,21,1,0,3.6,25,0,1,0,0,1,0,0,1,1,0,0
2.8,20,0,0,3.4,21,0,1,0,1,0,0,1,0,0.3,0,0
3.4,20,1,1,3.7,26,0,0,0,0,1,0,1,3,4,0,1
2.8,21,1,0,3.3,28,1,0,0,1,0,0,1,3,2,1,1
